"","edad_gama","Fecha","ingresos","trend"
"77","25-29",Mar 2006,739.819022870704,779.872468144391
"79","25-29",Apr 2006,757.941473249374,780.061390841775
"81","25-29",May 2006,769.673813194805,780.617515084894
"83","25-29",Jun 2006,771.125934676821,781.158564686735
"85","25-29",Jul 2006,778.006801814161,781.513545051652
"87","25-29",Aug 2006,784.622368999534,782.034881379677
"89","25-29",Sep 2006,833.091718540987,782.85757404982
"91","25-29",Oct 2006,796.190182173492,783.340976726445
"93","25-29",Nov 2006,799.871816630769,782.811517231931
"95","25-29",Dec 2006,875.360613884199,781.85778960314
"97","25-29",Jan 2007,744.827590952466,781.272396445024
"99","25-29",Feb 2007,737.941165790755,781.364187696907
"101","25-29",Mar 2007,751.45579451025,781.336989869074
"103","25-29",Apr 2007,757.906365848827,780.585267228331
"105","25-29",May 2007,757.001892727027,779.227583474308
"107","25-29",Jun 2007,760.908392053614,778.066683320487
"109","25-29",Jul 2007,774.174908642563,777.943633768427
"111","25-29",Aug 2007,790.657252216329,777.853642129149
"113","25-29",Sep 2007,826.404087456204,777.167564378116
"115","25-29",Oct 2007,784.836469880441,776.12247700368
"117","25-29",Nov 2007,778.641118827268,775.394848011177
"119","25-29",Dec 2007,868.729707996008,774.537640015632
"121","25-29",Jan 2008,748.505307591208,773.404754996078
"123","25-29",Feb 2008,732.103649809342,772.070263236066
"125","25-29",Mar 2008,740.827444466858,770.634679535502
"127","25-29",Apr 2008,743.452618905774,769.301792706362
"129","25-29",May 2008,753.992543850003,768.351005312844
"131","25-29",Jun 2008,743.344749037556,768.258787562762
"133","25-29",Jul 2008,764.549311189332,768.235035576344
"135","25-29",Aug 2008,768.255047429274,768.832270888265
"137","25-29",Sep 2008,814.352283429721,770.140757975665
"139","25-29",Oct 2008,764.898990007565,771.956830678385
"141","25-29",Nov 2008,775.759701255712,773.967161333109
"143","25-29",Dec 2008,869.397899565587,776.087418066989
"145","25-29",Jan 2009,747.267068347591,778.640582282837
"147","25-29",Feb 2009,747.675536539079,781.701624110661
"149","25-29",Mar 2009,756.659247834713,784.568948640847
"151","25-29",Apr 2009,771.206560403194,787.107159143153
"153","25-29",May 2009,774.48653806596,789.64291335175
"155","25-29",Jun 2009,773.736916434734,791.703149698936
"157","25-29",Jul 2009,795.433084972494,793.210617118592
"159","25-29",Aug 2009,810.836277513885,793.927653884679
"161","25-29",Sep 2009,840.586842069587,794.557820785234
"163","25-29",Oct 2009,799.581483423044,795.256216997117
"165","25-29",Nov 2009,801.93530884656,795.942189725091
"167","25-29",Dec 2009,892.667964307209,796.844495955202
"169","25-29",Jan 2010,760.176221677693,797.144185117018
"171","25-29",Feb 2010,751.975265595078,796.437172886078
"173","25-29",Mar 2010,767.483524392038,796.706252322927
"175","25-29",Apr 2010,777.143792931047,798.02747704713
"177","25-29",May 2010,785.012651009492,798.655446453308
"179","25-29",Jun 2010,784.866153013853,799.41041315458
"181","25-29",Jul 2010,791.496388276958,800.320835408109
"183","25-29",Aug 2010,797.804680666866,800.912237005888
"185","25-29",Sep 2010,860.076345400977,801.349687469002
"187","25-29",Oct 2010,811.801373472539,801.491262752191
"189","25-29",Nov 2010,804.786684545335,801.739277563213
"191","25-29",Dec 2010,907.935789438968,802.475386506512
"193","25-29",Jan 2011,766.758530630617,803.930889188158
"195","25-29",Feb 2011,759.586594988853,806.179881377808
"197","25-29",Mar 2011,770.371006113005,808.407120791592
"199","25-29",Apr 2011,777.654118006624,809.947652244834
"201","25-29",May 2011,790.454681398424,811.659499170153
"203","25-29",Jun 2011,797.090737264101,813.253123199992
"205","25-29",Jul 2011,814.203868386223,814.601985883661
"207","25-29",Aug 2011,829.073013109199,816.507695552518
"209","25-29",Sep 2011,882.261758889445,818.844532987511
"211","25-29",Oct 2011,826.588714861894,821.676484793549
"213","25-29",Nov 2011,831.083669363627,824.513619977202
"215","25-29",Dec 2011,919.885781336815,827.069871194296
"217","25-29",Jan 2012,787.18124314082,830.022312948311
"219","25-29",Feb 2012,784.900914531238,833.047766052812
"221","25-29",Mar 2012,801.140785010452,835.907876572035
"223","25-29",Apr 2012,814.851182454092,839.150646008086
"225","25-29",May 2012,821.34886135862,842.55030787321
"227","25-29",Jun 2012,827.546586514153,845.920927740486
"229","25-29",Jul 2012,854.606621232541,849.246682441394
"231","25-29",Aug 2012,861.281134770887,852.028633372524
"233","25-29",Sep 2012,918.696289689118,854.297912266048
"235","25-29",Oct 2012,867.980650527443,856.550177109662
"237","25-29",Nov 2012,871.283618461059,858.677588864452
"239","25-29",Dec 2012,960.580709054005,860.436814385629
"241","25-29",Jan 2013,826.304428245434,861.651504287651
"243","25-29",Feb 2013,812.544551773732,863.030044843083
"245","25-29",Mar 2013,827.959841212547,864.725749418651
"247","25-29",Apr 2013,842.086482498716,866.45813989918
"249","25-29",May 2013,845.171443428956,868.498629245339
"251","25-29",Jun 2013,845.945416952064,870.556520711341
"253","25-29",Jul 2013,865.360348443157,872.616140870204
"255","25-29",Aug 2013,883.612380890645,875.089332384569
"257","25-29",Sep 2013,937.061953382994,877.498532004896
"259","25-29",Oct 2013,891.192358366266,879.207420959547
"261","25-29",Nov 2013,897.043654930054,880.495568386629
"263","25-29",Dec 2013,984.21006776905,881.845347976079
"265","25-29",Jan 2014,852.105953343093,883.535315768743
"267","25-29",Feb 2014,846.099623020848,884.796790098312
"269","25-29",Mar 2014,852.22556085328,885.276896729709
"271","25-29",Apr 2014,858.834097769597,885.073428297341
"273","25-29",May 2014,859.339366408052,884.578060349587
"275","25-29",Jun 2014,864.172204119764,884.581023090842
"277","25-29",Jul 2014,887.6927882994,884.755335318439
"279","25-29",Aug 2014,891.555324944061,884.824005720608
"281","25-29",Sep 2014,940.641568483091,884.977934708078
"283","25-29",Oct 2014,882.729500889328,885.366928687682
"285","25-29",Nov 2014,893.617681660909,885.722225854544
"287","25-29",Dec 2014,987.707146828313,885.907122750483
"289","25-29",Jan 2015,852.792367746161,886.089305370874
"291","25-29",Feb 2015,847.061298269818,885.842226582139
"293","25-29",Mar 2015,854.958181303607,885.12299972995
"295","25-29",Apr 2015,865.437332829748,884.815484925244
"297","25-29",May 2015,861.263263352603,884.775889028832
"299","25-29",Jun 2015,866.685832677746,883.994261497346
"301","25-29",Jul 2015,889.551542630802,883.315705310204
"303","25-29",Aug 2015,883.766679683028,883.123603408229
"305","25-29",Sep 2015,931.168769291591,883.025912043809
"307","25-29",Oct 2015,884.821944767865,882.816284376487
"309","25-29",Nov 2015,890.574936268487,882.400142051748
"311","25-29",Dec 2015,971.990831465078,881.865929416182
"313","25-29",Jan 2016,852.22333461799,880.994909646275
"315","25-29",Feb 2016,843.019885750576,880.475875019547
"317","25-29",Mar 2016,856.655001076782,880.174609118206
"319","25-29",Apr 2016,858.709449040843,879.936344529194
"321","25-29",May 2016,858.003731347777,879.69224614045
"323","25-29",Jun 2016,857.124261428972,879.593463453698
"325","25-29",Jul 2016,878.208639401811,879.609988271479
"327","25-29",Aug 2016,882.652751870553,879.201941743201
"329","25-29",Sep 2016,925.052315471872,878.721342357811
"331","25-29",Oct 2016,885.220048451321,878.586834799302
"333","25-29",Nov 2016,884.318471255175,878.695210774942
"335","25-29",Dec 2016,975.876511996321,878.902488692587
"337","25-29",Jan 2017,848.734249713511,878.879018973982
"339","25-29",Feb 2017,836.715853976378,878.51262654281
"341","25-29",Mar 2017,851.42464760162,878.633995756532
"343","25-29",Apr 2017,860.711621111786,878.727821926055
"345","25-29",May 2017,858.602582692191,878.657159408267
"347","25-29",Jun 2017,861.500080108051,878.283300968014
"349","25-29",Jul 2017,873.269547476196,877.334536545165
"351","25-29",Aug 2017,878.798425448054,876.843829811271
"353","25-29",Sep 2017,931.819503023681,876.885784008929
"355","25-29",Oct 2017,880.704688968081,876.617273011591
"357","25-29",Nov 2017,887.137930311494,876.144070411882
"359","25-29",Dec 2017,964.084450373927,875.942392684223
"361","25-29",Jan 2018,837.755965187535,875.738696982723
"363","25-29",Feb 2018,835.917176888896,875.307550427308
"365","25-29",Mar 2018,853.230225432885,874.992994116454
"367","25-29",Apr 2018,852.461779344412,875.200513330833
"369","25-29",May 2018,855.495562066559,875.508280233581
"371","25-29",Jun 2018,859.766835269868,875.827160214261
"373","25-29",Jul 2018,870.11409547838,876.417827201618
"375","25-29",Aug 2018,871.606360115904,876.642710609862
"377","25-29",Sep 2018,931.462216895322,876.881743809459
"379","25-29",Oct 2018,886.04243624154,877.958056664494
"381","25-29",Nov 2018,889.186588703996,879.087942362272
"383","25-29",Dec 2018,969.688911517739,880.017447305375
"385","25-29",Jan 2019,846.32751174029,881.040720316801
"387","25-29",Feb 2019,832.742832134016,882.020297525726
"389","25-29",Mar 2019,862.14136697808,882.824722774386
"391","25-29",Apr 2019,869.382146320053,883.296649378836
"393","25-29",May 2019,865.692451837605,883.451345985711
"395","25-29",Jun 2019,871.878064133283,883.485253539576
"397","25-29",Jul 2019,882.561418889193,883.951237512954
"399","25-29",Aug 2019,882.668889719277,884.957486307008
"401","25-29",Sep 2019,939.705893259793,885.628115393362
"403","25-29",Oct 2019,889.124998383874,885.205275602898
"405","25-29",Nov 2019,889.816745126655,885.386613082988
"407","25-29",Dec 2019,969.872536387849,887.291837093768
"409","25-29",Jan 2020,857.327502231242,889.4734217
"411","25-29",Feb 2020,845.892812700377,891.211182477432
"413","25-29",Mar 2020,865.086484484212,892.168711787836
"415","25-29",Apr 2020,856.288873842783,892.592333224864
"417","25-29",May 2020,883.137823837028,893.676413048716
"419","25-29",Jun 2020,900.158068392593,895.338986582756
"421","25-29",Jul 2020,906.639445179452,896.220774113095
"423","25-29",Aug 2020,900.297122087375,896.797904618172
"425","25-29",Sep 2020,945.058364341396,898.005448510897
"427","25-29",Oct 2020,893.939441790927,900.123023123359
"429","25-29",Nov 2020,911.020217492053,901.701098616825
"431","25-29",Dec 2020,988.570828839414,902.224365141614
"433","25-29",Jan 2021,859.792110507811,903.223618418199
"435","25-29",Feb 2021,857.279336545667,904.478631879199
"437","25-29",Mar 2021,882.681014064308,905.696514077418
"439","25-29",Apr 2021,889.516134961778,906.905995617305
"441","25-29",May 2021,887.784374561212,907.637456006146
"443","25-29",Jun 2021,908.069914263351,907.951517158523
"445","25-29",Jul 2021,922.709677946736,908.930145187378
"447","25-29",Aug 2021,914.34721238409,910.472633330489
"449","25-29",Sep 2021,960.237446801937,911.27979290537
"451","25-29",Oct 2021,907.787916287675,911.138745855175
"453","25-29",Nov 2021,914.726792327495,911.12366579291
"455","25-29",Dec 2021,992.401721661006,910.943751465361
"457","25-29",Jan 2022,879.448290378751,910.000976242709
"459","25-29",Feb 2022,874.642872109389,909.646003766733
"461","25-29",Mar 2022,884.689308297728,910.043810733582
"463","25-29",Apr 2022,884.122711523695,910.767745765835
"465","25-29",May 2022,892.815876504914,911.246051348455
"467","25-29",Jun 2022,898.720468458481,911.761245946441
"469","25-29",Jul 2022,909.432518407954,912.604727328841
"471","25-29",Aug 2022,919.10503249946,913.129380492786
"473","25-29",Sep 2022,965.026993890936,913.709300419464
"475","25-29",Oct 2022,920.372809972762,914.878956306256
"477","25-29",Nov 2022,913.621232625291,916.576986436419
"479","25-29",Dec 2022,1005.87195171486,918.757939444621
"481","25-29",Jan 2023,886.221613502498,921.490185400806
"483","25-29",Feb 2023,880.461224920318,924.168550371993
"485","25-29",Mar 2023,892.789033727063,927.048311311681
"487","25-29",Apr 2023,904.094727377367,930.314049523229
"489","25-29",May 2023,913.596583775168,933.455596976717
"491","25-29",Jun 2023,930.282633385074,936.595550212636
"493","25-29",Jul 2023,943.444256429794,940.137850408968
"495","25-29",Aug 2023,949.374053786106,943.413131284481
"497","25-29",Sep 2023,1003.87223515681,946.504670630371
"511","35-50",Apr 2003,633.445375917684,612.358890294683
"513","35-50",May 2003,657.170353314388,632.881009104468
"515","35-50",Jun 2003,667.477215700588,648.270731349168
"517","35-50",Jul 2003,679.427072565793,661.060478049622
"519","35-50",Aug 2003,688.856947273219,672.377057192379
"521","35-50",Sep 2003,704.133569692398,682.545294130407
"523","35-50",Oct 2003,675.291718917539,691.436152924866
"525","35-50",Nov 2003,674.463556296695,698.950182220548
"527","35-50",Dec 2003,719.161972276361,705.736284179097
"529","35-50",Jan 2004,713.028052317792,712.062387570013
"531","35-50",Feb 2004,716.539271013085,717.572235199035
"533","35-50",Mar 2004,719.483241240495,723.266842406165
"535","35-50",Apr 2004,730.956353062381,729.478006386345
"537","35-50",May 2004,739.996079266071,735.585078291524
"539","35-50",Jun 2004,747.51793675407,741.882112782577
"541","35-50",Jul 2004,751.212832894308,748.449365070499
"543","35-50",Aug 2004,749.307530041235,754.991264861044
"545","35-50",Sep 2004,780.353559895492,761.188062448026
"547","35-50",Oct 2004,748.13966423878,767.274944363772
"549","35-50",Nov 2004,748.185336699752,772.884690745419
"551","35-50",Dec 2004,796.569019658568,778.101564519613
"553","35-50",Jan 2005,793.235059845709,783.844529512254
"555","35-50",Feb 2005,793.337858458246,790.310060190913
"557","35-50",Mar 2005,791.407795882907,796.289513720425
"559","35-50",Apr 2005,805.11696439786,801.596931040899
"561","35-50",May 2005,800.469381090133,806.890440739818
"563","35-50",Jun 2005,812.24960551065,812.25627359374
"565","35-50",Jul 2005,824.312323961121,816.884004667056
"567","35-50",Aug 2005,831.380775262238,819.191057257901
"569","35-50",Sep 2005,841.787199382774,820.438659232666
"571","35-50",Oct 2005,814.084040442885,823.299897122459
"573","35-50",Nov 2005,809.28519326969,827.969232962336
