"","edad_gama","quintil","Sexo","Fecha","ingresos","trend","base","perc_change2010"
"9046","35-50","iv","hombre",Dec 2011,1392.42504512722,1304.27364915842,1194.37529149511,9.20132544987074
"9048","35-50","iv","hombre",Jan 2012,1315.02055087948,1315.17824524183,1194.37529149511,10.1143212361249
"9050","35-50","iv","hombre",Feb 2012,1303.66416072169,1326.6976121789,1194.37529149511,11.0787891901338
"9052","35-50","iv","hombre",Mar 2012,1340.21869253051,1338.3905400946,1194.37529149511,12.0577886720353
"9054","35-50","iv","hombre",Apr 2012,1366.69931924493,1350.17906791566,1194.37529149511,13.0447923303495
"9056","35-50","iv","hombre",May 2012,1345.95496741941,1362.21418378935,1194.37529149511,14.0524417651117
"9058","35-50","iv","hombre",Jun 2012,1338.30735310643,1375.50882442538,1194.37529149511,15.1655458899791
"9060","35-50","iv","hombre",Jul 2012,1380.39250002065,1388.59841475774,1194.37529149511,16.2614820187292
"9062","35-50","iv","hombre",Aug 2012,1383.74395914821,1399.83299344671,1194.37529149511,17.202105855221
"9064","35-50","iv","hombre",Sep 2012,1480.11048566266,1410.0577063026,1194.37529149511,18.0581778895893
"9066","35-50","iv","hombre",Oct 2012,1380.36240192974,1419.97519240946,1194.37529149511,18.8885271255022
"9068","35-50","iv","hombre",Nov 2012,1393.31078779713,1430.10597841848,1194.37529149511,19.7367350615804
"9070","35-50","iv","hombre",Dec 2012,1564.21638416013,1439.74587196074,1194.37529149511,20.5438426441722
"9072","35-50","iv","hombre",Jan 2013,1457.3793798232,1448.22825672491,1194.37529149511,21.2540369042649
"9074","35-50","iv","hombre",Feb 2013,1430.93522031329,1456.79486385521,1194.37529149511,21.9712827474523
"9076","35-50","iv","hombre",Mar 2013,1458.34074148037,1466.27325201281,1194.37529149511,22.7648681661304
"9078","35-50","iv","hombre",Apr 2013,1486.59693685977,1475.74486478976,1194.37529149511,23.5578863107951
"9080","35-50","iv","hombre",May 2013,1469.19621402103,1485.00714589796,1194.37529149511,24.3333779987222
"9082","35-50","iv","hombre",Jun 2013,1446.42355151903,1492.85369078778,1194.37529149511,24.9903360709203
"9084","35-50","iv","hombre",Jul 2013,1475.85353594801,1500.09851119998,1194.37529149511,25.5969142933429
"9086","35-50","iv","hombre",Aug 2013,1493.88149434818,1507.69911316358,1194.37529149511,26.2332806028035
"9088","35-50","iv","hombre",Sep 2013,1597.45426624506,1514.273532432,1194.37529149511,26.7837289681736
"9090","35-50","iv","hombre",Oct 2013,1490.33732799409,1519.36131646882,1194.37529149511,27.209707642804
"9092","35-50","iv","hombre",Nov 2013,1505.63060832958,1523.86324858259,1194.37529149511,27.5866354096312
"9094","35-50","iv","hombre",Dec 2013,1640.21364098327,1529.06862806712,1194.37529149511,28.0224598545602
"9096","35-50","iv","hombre",Jan 2014,1555.25781289301,1534.41316708303,1194.37529149511,28.4699355394618
"9098","35-50","iv","hombre",Feb 2014,1515.47123436979,1538.77020013858,1194.37529149511,28.8347315199689
"9100","35-50","iv","hombre",Mar 2014,1531.59078986595,1542.47487569133,1194.37529149511,29.1449083612964
"9102","35-50","iv","hombre",Apr 2014,1535.45370535795,1545.64743752108,1194.37529149511,29.4105335674053
"9104","35-50","iv","hombre",May 2014,1528.38581625328,1548.47550198533,1194.37529149511,29.6473154637144
"9106","35-50","iv","hombre",Jun 2014,1512.16305691544,1552.27532595322,1194.37529149511,29.9654586800846
"9108","35-50","iv","hombre",Jul 2014,1538.38296693353,1556.48499668858,1194.37529149511,30.3179166357482
"9110","35-50","iv","hombre",Aug 2014,1535.92085669572,1560.42617196941,1194.37529149511,30.6478946007055
"9112","35-50","iv","hombre",Sep 2014,1644.32711716366,1564.55583227684,1194.37529149511,30.9936536210775
