"","Fecha","quintil","ingresos","trend","base","perc_change"
"1117",Apr 2012,4,867.291782809953,885.333190744917,917.7147187891,-3.52849609810226
"1119",Apr 2012,5,1833.45533102228,1898.86091605786,1921.91829528103,-1.19970652653556
"1121",May 2012,1,226.829235219002,229.553822176834,235.74477272491,-2.62612420904007
"1123",May 2012,2,406.896214720544,413.419139893804,426.811935859282,-3.13786818977201
"1125",May 2012,3,583.647786972931,594.978757745123,615.113409283463,-3.27332346108246
"1127",May 2012,4,867.793517439413,890.510963823169,917.7147187891,-2.96429319580121
"1129",May 2012,5,1843.7799511024,1903.29696570917,1921.91829528103,-0.968892882573614
"1131",Jun 2012,1,228.512512959684,230.695517353358,235.74477272491,-2.14183131748305
"1133",Jun 2012,2,407.126112606707,415.744470945778,426.811935859282,-2.59305421982223
"1135",Jun 2012,3,584.512296478224,598.659666980777,615.113409283463,-2.67491198441801
"1137",Jun 2012,4,876.059751101469,895.569407299692,917.7147187891,-2.41309320162457
"1139",Jun 2012,5,1869.19899084969,1907.44149636567,1921.91829528103,-0.753247364932498
"1141",Jul 2012,1,243.789733427802,231.688978415185,235.74477272491,-1.72041749339541
"1143",Jul 2012,2,426.165879258814,418.012652770801,426.811935859282,-2.0616300410545
"1145",Jul 2012,3,603.938163829523,602.114082126423,615.113409283463,-2.11332202498768
"1147",Jul 2012,4,902.212219754654,900.138706203735,917.7147187891,-1.91519349374244
"1149",Jul 2012,5,1914.01908483549,1911.88783672316,1921.91829528103,-0.521898281654203
"1151",Aug 2012,1,242.929225518031,232.561956273748,235.74477272491,-1.35011114535984
"1153",Aug 2012,2,428.347913209641,419.997375313202,426.811935859282,-1.59661901965327
"1155",Aug 2012,3,614.383738838757,604.952520154844,615.113409283463,-1.65187247997974
"1157",Aug 2012,4,911.224248914952,904.000061215376,917.7147187891,-1.4944358298862
"1159",Aug 2012,5,1927.29942053518,1915.51987174705,1921.91829528103,-0.332918602715212
"1161",Sep 2012,1,244.789157686065,233.366343330267,235.74477272491,-1.00890016230308
"1163",Sep 2012,2,444.587112158108,421.82918263518,426.811935859282,-1.16743530474862
"1165",Sep 2012,3,656.449782753817,607.517978728247,615.113409283463,-1.23480165455407
"1167",Sep 2012,4,979.429707468876,907.615631319576,917.7147187891,-1.10046044405272
"1169",Sep 2012,5,2056.03847134361,1917.75891472104,1921.91829528103,-0.216418178140241
"1171",Oct 2012,1,242.707959357473,234.254881789062,235.74477272491,-0.631993201217624
"1173",Oct 2012,2,426.3594979457,423.588005143551,426.811935859282,-0.755351583418263
"1175",Oct 2012,3,611.644229412867,610.186373928934,615.113409283463,-0.80099625210059
"1177",Oct 2012,4,917.745466059721,911.106626617188,917.7147187891,-0.720059517039426
"1179",Oct 2012,5,1956.02340022108,1919.80579024438,1921.91829528103,-0.109916485099269
"1181",Nov 2012,1,240.740386151721,234.99608979212,235.74477272491,-0.317581986712274
"1183",Nov 2012,2,428.585459105639,425.214391045641,426.811935859282,-0.374297127006233
"1185",Nov 2012,3,616.824944064415,612.74679015238,615.113409283463,-0.384745169811773
"1187",Nov 2012,4,923.123540960817,914.563849656126,917.7147187891,-0.343338628929408
"1189",Nov 2012,5,1965.13954134181,1921.52097106755,1921.91829528103,-0.020673314493054
"1191",Dec 2012,1,240.454705963507,235.74477272491,235.74477272491,0
"1193",Dec 2012,2,450.41836884555,426.811935859282,426.811935859282,0
"1195",Dec 2012,3,679.033472313672,615.113409283463,615.113409283463,0
"1197",Dec 2012,4,1034.5485306312,917.7147187891,917.7147187891,0
"1199",Dec 2012,5,2183.64730012433,1921.91829528103,1921.91829528103,0
"1201",Jan 2013,1,224.15562136797,235.648549517551,235.74477272491,-0.0408166875755084
"1203",Jan 2013,2,416.060009005037,427.771323274791,426.811935859282,0.224779893649755
"1205",Jan 2013,3,591.972471327532,617.080402697997,615.113409283463,0.319777358914322
"1207",Jan 2013,4,877.132888967931,920.092194803639,917.7147187891,0.259064823290118
"1209",Jan 2013,5,1845.962230923,1921.80108392163,1921.91829528103,-0.00609866505191677
"1211",Feb 2013,1,223.718405351656,235.914722037235,235.74477272491,0.0720903841730806
"1213",Feb 2013,2,415.520763371969,429.038470526343,426.811935859282,0.52166644838054
"1215",Feb 2013,3,588.36003967003,619.187953400129,615.113409283463,0.662405347562202
"1217",Feb 2013,4,868.14517618175,922.540404849433,917.7147187891,0.525837273995097
"1219",Feb 2013,5,1797.06786297703,1921.74478986813,1921.91829528103,-0.00902772055026491
"1221",Mar 2013,1,227.400401533433,237.208280652387,235.74477272491,0.620801857263304
"1223",Mar 2013,2,418.820295304973,431.322702554701,426.811935859282,1.05685111320457
"1225",Mar 2013,3,597.506550414073,621.952287897922,615.113409283463,1.11180775955209
"1227",Mar 2013,4,888.35938847096,925.482638447377,917.7147187891,0.846441655477246
"1229",Mar 2013,5,1832.6828195587,1920.69812646346,1921.91829528103,-0.0634870285885306
"1231",Apr 2013,1,229.185336523567,238.369342345797,235.74477272491,1.11330978437018
"1233",Apr 2013,2,423.944847370965,433.7639328128,426.811935859282,1.62881971412575
